[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.46757349718 3.14952682026 27.8409809412 55.3030738653 55.3030738653 5661.66666667 51.1989921535 334.408284012
-2.64469540713 1.55278242296 251.382600509 387.646632854 387.646632854 14512.9765795 42.1350687249 1189.04221671
-2.64469540713 1.55278242296 251.382600509 387.646632854 387.646632854 14512.9765795 59.2619461937 1189.04221671
-2.64469540713 1.55278242296 251.382600509 387.646632854 387.646632854 14512.9765795 -1192.91345136 1189.04221671
-2.54863379027 1.04779837827 172.345802015 308.726247773 308.726247773 6116.4799253 56.6764842931 754.864999074
-1.85127973872 1.20225197771 37.7600489252 64.4863412758 64.4863412758 5747.40604575 54.6385311769 257.527293479
-2.86980074864 1.27973548464 -1.0 -1.0 -1.0 5747.27722772 24.934178778 93.7340590886
-3.08062471484 0.782760185617 -1.0 -1.0 -1.0 6393.7745098 55.2936490631 1586.11919746
-3.08062471484 0.782760185617 -1.0 -1.0 -1.0 6393.7745098 58.1398899084 1586.11919746
-2.90242745414 1.29483532103 -1.0 -1.0 -1.0 5556.72268908 53.2847101715 373.041492519
-1.4224032203 0.807727640545 9.08597394055 17.9514828064 17.9514828064 6507.84313725 56.462180114 536.099130407
-2.66572033752 0.984481827612 116.825075264 223.208372891 223.208372891 5638.5620915 57.1107627988 341.8465519
-3.15766808507 1.73711525389 1582.8708295 2150.25403618 2150.25403618 6014.88926524 55.2010477935 2348.11602074
-3.15766808507 1.73711525389 1582.8708295 2150.25403618 2150.25403618 6014.88926524 56.4689297643 2348.11602074
-1.05267083839 1.40291520354 12.7421347783 18.9235180547 18.9235180547 14138.7867647 69.5351864247 32.2608548631
-3.02292709198 0.686421311021 -1.0 -1.0 -1.0 10141.1330049 28.6446736287 234.087284415
-3.15815433715 0.781146258932 -1.0 -1.0 -1.0 7872.79411765 39.7980149669 137.372244945
-2.9640840026 0.845993340439 -1.0 -1.0 -1.0 6427.94117647 49.273234717 164.822342929
-3.07770997604 1.46553605755 -1.0 -1.0 -1.0 5727.94117647 58.2778486312 85.6216361589
-2.75679352521 1.08877435901 -1.0 -1.0 -1.0 12266.6666667 67.1040004474 239.255525744
-3.0143448792 0.971297315171 -1.0 -1.0 -1.0 10842.875817 51.3283799366 219.216218186
-3.00798750018 0.906336538525 -1.0 -1.0 -1.0 8343.79084967 51.614925121 208.035562152
-2.04399395515 1.09940323721 77.6822247406 172.350430458 172.350430458 6832.27124183 51.5071501295 843.091108778
-1.98206982511 0.999897380112 41.6134557015 76.3989520953 76.3989520953 6833.33333333 51.3910457972 114.421829949
-2.99555808023 1.38309548528 -1.0 -1.0 -1.0 4921.06135987 62.3041101974 186.283787164
-3.13109274578 0.989742014569 -1.0 -1.0 -1.0 5697.64995653 56.6278263375 1470.65692409
-3.13109274578 0.989742014569 -1.0 -1.0 -1.0 5697.64995653 57.8408937216 1470.65692409
-3.0316944061 1.45511137249 -1.0 -1.0 -1.0 5500.0 49.4395308519 183.067006644
-3.0316944061 1.45511137249 -1.0 -1.0 -1.0 5500.0 67.794465455 183.067006644
-3.18635117244 0.725392091444 -1.0 -1.0 -1.0 6595.22058824 53.5130929558 128.729134314
-3.20950408172 1.41377335041 -1.0 -1.0 -1.0 6642.79411765 55.0545523174 332.512632614
-0.78689698117 1.31914422525 5.8885250548 10.381873495 10.381873495 5218.46405229 39.2007074608 237.98292998
-1.44972195605 5.36672196082 44.6992918189 67.9387726715 67.9387726715 5257.98319328 62.6015927599 504.580133294
-1.26332552696 1.2425344998 8.89087847932 16.3680773515 16.3680773515 4244.91421569 57.772622165 343.800826225
-3.21183302344 0.87202404859 547.474154125 1065.21758857 1065.21758857 5825.4649654 62.2323285702 1169.90707424
-3.21183302344 0.87202404859 547.474154125 1065.21758857 1065.21758857 5825.4649654 70.9230869814 1169.90707424
-3.1869366386 1.27576059447 815.027279391 1479.04582316 1479.04582316 12111.8596059 54.6769392038 1584.95079861
-3.1869366386 1.27576059447 815.027279391 1479.04582316 1479.04582316 12111.8596059 61.079901142 1584.95079861
-3.1869366386 1.27576059447 815.027279391 1479.04582316 1479.04582316 12111.8596059 67.5985877918 1584.95079861
-0.836728157347 0.871859868801 3.5111382025 5.06904085958 5.06904085958 11655.8210784 47.8444096799 0.0
-1.72882977269 1.11556942857 15.7285574205 27.4229712949 27.4229712949 10383.2720588 53.0538949309 184.325370006
-1.90300576076 0.861727555401 32.7353476386 59.5122188187 59.5122188187 10064.7058824 57.3627844598 320.105996114
-1.90300576076 0.861727555401 32.7353476386 59.5122188187 59.5122188187 10064.7058824 68.893692959 320.105996114
-2.91868639456 1.38244903766 -1.0 -1.0 -1.0 5977.94117647 33.7882157554 111.029325205
-1.64932489157 0.813860028674 17.5860404515 29.6958723359 29.6958723359 8976.10837438 54.7999575991 240.196731686
-1.17807256174 1.07641979903 5.30131567087 10.9210079806 10.9210079806 6643.75 56.5980073473 107.800035411
-1.65298099532 1.55511002475 18.343092587 36.9329859515 36.9329859515 12567.1568627 48.6494686077 368.98051621
-2.72749939527 1.96675992481 753.827767142 1468.95968357 1468.95968357 7980.03565062 58.4455181114 1234.70368038
-2.23000989486 1.80624086021 273.31880769 515.453724346 515.453724346 9367.08304011 61.4879228523 897.591975479
-3.33642525389 0.793837263809 -1.0 -1.0 -1.0 5241.97303922 60.2559687442 482.23834415
-2.79729791375 1.49693311436 -1.0 -1.0 -1.0 15403.2077743 42.7463379551 969.744493178
-2.79729791375 1.49693311436 -1.0 -1.0 -1.0 15403.2077743 63.3641827041 969.744493178
-3.06960810355 1.15193430513 -1.0 -1.0 -1.0 5899.26470588 57.0372918997 413.868774158
-3.10669280061 0.759729806073 -1.0 -1.0 -1.0 12425.1231527 49.8240989958 0.0
-1.62223190744 1.32494666282 57.6714356254 91.3775486477 91.3775486477 5957.72058824 44.108866557 461.025253559
-2.71718530424 1.54355367911 -1.0 -1.0 -1.0 5116.83006536 41.6938045654 266.304746435
-3.02142260204 0.966586493161 -1.0 -1.0 -1.0 5533.9869281 58.2081402293 578.087099997
-2.76343262618 2.54084846489 -1.0 -1.0 -1.0 16276.5339967 70.2993195109 337.951988731
-3.13862969863 0.90602532985 -1.0 -1.0 -1.0 5051.47058824 34.6029444724 0.0
-2.72471377852 1.25319362385 -1.0 -1.0 -1.0 6016.48284314 54.2464058174 595.23753774
-3.34865904677 0.683605118066 -1.0 -1.0 -1.0 20467.0231729 51.2152149959 1303.8483852
-3.34865904677 0.683605118066 -1.0 -1.0 -1.0 20467.0231729 74.8002821314 1303.8483852
-3.34865904677 0.683605118066 -1.0 -1.0 -1.0 20467.0231729 76.1097742127 1303.8483852
-3.02044186517 0.865910358412 -1.0 -1.0 -1.0 5113.02361854 53.4875041133 385.846338788
-3.25753810655 0.766776876225 -1.0 -1.0 -1.0 5582.35294118 48.6207943741 125.152571212
-2.77570442975 1.35319761565 -1.0 -1.0 -1.0 5747.4769618 63.1001185425 2609.17397304
-2.77570442975 1.35319761565 -1.0 -1.0 -1.0 5747.4769618 66.7228348603 2609.17397304
-2.77570442975 1.35319761565 -1.0 -1.0 -1.0 5747.4769618 86.0579046935 2609.17397304
-2.97992812637 1.31808132233 -1.0 -1.0 -1.0 5561.63793103 47.4430981107 214.66811265
-2.82895807141 1.36150702515 -1.0 -1.0 -1.0 5624.56896552 58.241061011 233.108208385
-2.28780631168 1.50155928974 166.342094787 284.10937936 284.10937936 5654.9462146 58.136270881 891.553628149
-3.04996100036 0.823407159719 -1.0 -1.0 -1.0 5545.32019704 43.7919051572 0.0
-3.04112387341 1.22195561247 -1.0 -1.0 -1.0 5652.72727273 59.490236828 609.983355872
