[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.42135529641 1.1678079467 13.1234119882 30.3748938481 30.3748938481 16109.5588235 57.9841728623 352.850367862
-0.777516887054 0.800918873484 3.81144179317 5.94430392238 5.94430392238 13737.5 55.0250381646 0.0
-1.34861231909 1.2414485878 14.4875678045 25.1335590582 25.1335590582 4552.15686275 57.3788807654 229.414032135
-2.96842826326 1.32372816014 462.266702597 876.692753661 876.692753661 5892.2120098 54.7266961015 1138.43710895
-2.96842826326 1.32372816014 462.266702597 876.692753661 876.692753661 5892.2120098 56.0367732171 1138.43710895
-2.79543253803 1.18905645978 -1.0 -1.0 -1.0 17477.0833333 84.1116116947 57.3849644683
-3.16325931694 0.985130710025 -1.0 -1.0 -1.0 6639.70588235 52.9999792253 299.160400013
-3.28485486249 0.913374932996 -1.0 -1.0 -1.0 5659.80392157 63.4886400591 184.354356155
-3.03864134583 0.931881584802 -1.0 -1.0 -1.0 5480.23897059 55.2717856619 750.479668886
-2.96829278315 1.15003898938 -1.0 -1.0 -1.0 9472.05882353 54.616884357 282.331651005
-3.13564796507 0.634771368041 -1.0 -1.0 -1.0 5350.78728461 54.7332703607 649.674806706
-1.97588061404 1.11113500996 47.3966302893 84.805668402 84.805668402 17702.2058824 61.7368529923 610.809826108
-1.97588061404 1.11113500996 47.3966302893 84.805668402 84.805668402 17702.2058824 76.611462503 610.809826108
-2.01572307594 0.967810295757 60.278783839 103.886017982 103.886017982 7662.5 70.3756038664 333.743156058
-2.01572307594 0.967810295757 60.278783839 103.886017982 103.886017982 7662.5 95.6318306288 333.743156058
-3.0917706531 1.7011053923 -1.0 -1.0 -1.0 5523.99509804 50.3231331023 226.024430753
-3.18118530708 1.27162040116 -1.0 -1.0 -1.0 5178.43137255 54.3247927936 722.555299994
-2.96487894601 0.988337466043 -1.0 -1.0 -1.0 6275.34722222 44.024937717 171.866495868
-3.18071852355 0.949379430289 -1.0 -1.0 -1.0 9343.91339869 55.0521562498 777.145545883
-3.04859503461 1.32612737831 -1.0 -1.0 -1.0 5949.93842365 56.1258742461 222.08665993
-2.85244709093 0.885878699653 405.750783718 733.739377144 733.739377144 6470.92760181 57.0677473058 1989.61537157
-2.19503194904 1.15089134438 220.603988494 418.751200342 418.751200342 10925.9259259 58.1721894238 29.7813
-2.2322754167 0.813713181981 69.7594481896 132.337124764 132.337124764 6666.91176471 61.6678239438 524.224165957
-2.2322754167 0.813713181981 69.7594481896 132.337124764 132.337124764 6666.91176471 67.7648278957 524.224165957
-2.84634987962 1.53420925404 -1.0 -1.0 -1.0 6714.90147783 52.5036912488 161.231301765
