[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.15875504528 0.997257782184 62.8410868128 116.352738338 116.352738338 5110.37581699 58.912587913 510.99891 410.826711735
-1.09568626045 0.903116762261 5.85313711587 12.6563235541 12.6563235541 4419.80392157 65.8616566354 137.667176092 128.663198956
-1.5040257157 0.964968229505 14.7706818698 29.9381525115 29.9381525115 5208.33333333 50.1564174668 289.47425249 249.788804101
-2.5289418262 0.868642431726 137.468185712 254.359121406 254.359121406 4696.15721289 55.4843343855 867.109811757 656.818117501
-1.10431040916 1.50771005136 14.0424327032 24.9257340598 24.9257340598 6429.60591133 53.3460309613 262.783968726 205.407712033
-3.04651417719 1.36654461278 823.667740336 1130.83265963 1130.83265963 7487.16153128 54.5222630042 2290.43187163 587.07485981
-3.04651417719 1.36654461278 823.667740336 1130.83265963 1130.83265963 7487.16153128 60.0353030973 2290.43187163 793.91833804
-3.04651417719 1.36654461278 823.667740336 1130.83265963 1130.83265963 7487.16153128 61.3444800649 2290.43187163 663.766022045
-0.901412197305 3.11453569286 28.691870506 61.0621651767 61.0621651767 10425.8578431 46.7595251598 324.102128387 303.370494237
-0.527125129674 1.6244550892 5.31199436759 5.14088370291 5.14088370291 5113.23529412 39.9408495765 107.914882625 104.076722711
-2.36151429391 1.63192145681 231.00455608 409.497864009 409.497864009 5261.53846154 54.5460439352 863.020584819 366.579646263
-2.36151429391 1.63192145681 231.00455608 409.497864009 409.497864009 5261.53846154 54.5460439352 863.020584819 316.181774966
-2.7900906716 1.33448331264 -1.0 -1.0 -1.0 15520.8333333 54.4588769237 0.0 58.3100801714
-1.70639305345 1.17600058823 22.6333045446 46.9159965085 46.9159965085 4728.12807882 54.5584221303 291.343680369 217.546744138
-0.943147292096 1.07113771774 8.40339595524 12.497568492 12.497568492 6111.31535948 59.0338542396 200.393350064 145.076698819
-2.32372960756 0.63962973691 69.3674270344 127.475637693 127.475637693 5209.80392157 57.0310725872 582.427089994 426.425750346
-1.50566365294 0.892201623825 16.8328398908 32.11336311 32.11336311 5538.60294118 51.5741490124 344.969048997 243.950667885
-2.85252921365 0.79001178289 442.411692554 662.324901784 662.324901784 4834.61601307 53.4584963955 1588.79367124 715.669877945
-2.85252921365 0.79001178289 442.411692554 662.324901784 662.324901784 4834.61601307 54.8070123807 1588.79367124 678.506278351
-2.05610390248 1.5211402109 118.663841474 221.055023154 221.055023154 6310.19607843 52.9717543737 510.99891 440.905214444
-2.31727712295 1.52652888464 156.819651483 256.478212082 256.478212082 5167.64705882 55.6757745887 495.490009684 437.205572101
-2.91114513897 0.695859924209 274.460688249 532.739763184 532.739763184 6866.22879037 55.3141057189 1101.81122106 245.809407943
-2.91114513897 0.695859924209 274.460688249 532.739763184 532.739763184 6866.22879037 61.0203225384 1101.81122106 595.096402362
-2.65341161625 0.974896397515 261.258366147 487.08492102 487.08492102 4655.50869858 53.075492991 807.23866861 344.933676684
-2.65341161625 0.974896397515 261.258366147 487.08492102 487.08492102 4655.50869858 53.075492991 807.23866861 388.301861927
-1.8784022495 1.81184213115 81.9047319078 134.587392387 134.587392387 5896.53465347 54.908767235 359.905361529 322.832833933
-3.11839185648 1.1006358516 533.884833919 1016.81216276 1016.81216276 4779.0119637 55.0184719874 1361.42614721 445.26402827
-3.11839185648 1.1006358516 533.884833919 1016.81216276 1016.81216276 4779.0119637 56.4464193546 1361.42614721 582.250954501
-0.0311940060929 4.56550282956 8.96985496556 13.9394902843 13.9394902843 4357.51633987 38.9311220926 250.319590484 144.207239628
-1.08162379952 1.60410276622 8.31758251627 13.1283872779 13.1283872779 6630.22875817 45.1477941682 179.753310549 153.967943613
-2.59317874366 1.24893581565 340.605513843 533.345048113 533.345048113 4466.62071078 27.9324608893 1435.81129945 365.215520584
-2.59317874366 1.24893581565 340.605513843 533.345048113 533.345048113 4466.62071078 62.4906782745 1435.81129945 864.904836047
-2.59317874366 1.24893581565 340.605513843 533.345048113 533.345048113 4466.62071078 60.2852881868 1435.81129945 71.3516069636
-1.62020170821 0.796080523646 19.5319173848 30.9462733743 30.9462733743 5448.28431373 53.9456657571 364.15525023 291.682705474
-1.79725204292 1.05721583458 34.289108218 56.9951449943 56.9951449943 5417.27941176 59.5202993747 389.641994236 310.586297471
-1.69905963759 0.850833551697 9.55334327113 16.9936375434 16.9936375434 6095.50653595 50.8615702682 149.979632021 119.585721881
-1.73040079953 0.595953929331 14.0154333239 27.8748828088 27.8748828088 5583.9869281 53.6851496976 294.626652546 223.109049922
-3.02609777258 0.881368331993 -1.0 -1.0 -1.0 4172.4137931 24.8597358798 73.3525882941 63.9746604417
-0.92853993938 1.07565240917 8.19336829134 10.7319378736 10.7319378736 3733.05322129 50.973400321 160.504711699 152.830106859
-2.3272852134 0.849286504384 67.8597676688 128.360366122 128.360366122 4947.2771836 53.2404613805 583.190999997 537.323244182
-2.7979241914 1.37405527144 877.263739136 1196.2286366 1196.2286366 5270.05701969 54.8772985956 2423.66049468 2163.09437746
-0.683606863448 1.67223859358 9.15297545757 11.1759595836 11.1759595836 5814.73727422 60.9947174761 187.240688367 157.275032716
-1.22324977384 1.03597172671 7.48174957362 12.9719590646 12.9719590646 7012.00980392 52.7545704331 221.389208176 180.194536779
-3.06808881439 0.843636386019 -1.0 -1.0 -1.0 13812.5615764 57.0833466491 0.0 40.1912368774
-1.28358623361 1.03070632896 12.8338922355 22.911695526 22.911695526 6083.61928105 46.6974741896 237.705399993 179.904804381
