[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.00589267243 0.988977793157 44.469134711 82.677601443 82.677601443 4439.36781609 54.1146766533 558.942465816 332.044959969
-2.20288518523 1.55093889659 120.025644608 274.193530675 274.193530675 5287.4737395 58.8353612389 803.857811087 598.969064789
-1.29957613185 0.762215454089 13.2093010795 18.9152073182 18.9152073182 5149.43977591 49.5086249435 274.898729637 233.995001007
-0.783925280192 2.40601933646 24.4140417089 37.9178927467 37.9178927467 14672.7557756 35.5153623839 279.164873297 48.2131180318
-0.783925280192 2.40601933646 24.4140417089 37.9178927467 37.9178927467 14672.7557756 50.3549976802 279.164873297 264.165401847
-2.31725968105 1.7634005523 712.613682172 892.262807712 892.262807712 5351.42463235 55.8200269731 2057.09352368 1982.79855574
-1.42429444598 0.868056890767 11.4969877129 21.2095510351 21.2095510351 6458.33333333 62.289382275 273.078253039 193.224439494
-1.38729661878 1.41084842742 27.2197232114 52.0413478191 52.0413478191 3687.45098039 41.405472573 302.919965641 279.756127732
-2.61195716724 1.13925355671 374.771998876 708.184786531 708.184786531 5036.07843137 55.1172881841 1035.60691339 404.329697892
-2.61195716724 1.13925355671 374.771998876 708.184786531 708.184786531 5036.07843137 56.345933692 1035.60691339 399.682797123
-2.91931764115 1.11556283465 659.977104505 1236.41571884 1236.41571884 5413.44896933 52.7391846283 1184.71849192 289.118618315
-2.91931764115 1.11556283465 659.977104505 1236.41571884 1236.41571884 5413.44896933 55.6023903308 1184.71849192 820.860737447
-0.883643342787 1.15391711825 10.6977836115 20.6705977079 20.6705977079 4218.75 53.6289391038 196.522959416 148.622404716
-2.46189039334 1.01728920579 182.410799598 384.604046531 384.604046531 4602.75735294 55.2527518361 827.838519764 657.534016393
-2.64619898423 1.63388071662 422.550973847 769.434825865 769.434825865 5439.4012605 54.0679060289 948.024665209 299.156388867
-2.64619898423 1.63388071662 422.550973847 769.434825865 769.434825865 5439.4012605 57.0179318569 948.024665209 427.732028178
-2.98957148386 1.32621768147 -1.0 -1.0 -1.0 3235.41666667 55.6929200912 213.533691424 108.821145192
-1.41227641616 1.11104592893 16.969696048 28.8923840941 28.8923840941 4941.66666667 46.6267939701 223.870643024 190.683466848
-1.69208639167 0.377993126087 10.7581539934 18.431824694 18.431824694 6152.94117647 59.007166699 260.802099596 236.799474087
-2.19251765271 1.05836228948 54.9722723509 104.806458047 104.806458047 5813.7254902 53.0379309766 461.424000398 441.828432101
-1.31365231119 1.47549614848 11.5924646225 19.4884607459 19.4884607459 6093.75 46.0588663015 198.828249745 160.098040393
-2.17018715034 0.497247726405 43.4269086432 85.0490424053 85.0490424053 4458.53076863 51.9427869284 379.575750252 361.898836068
-2.70066774561 0.814594378188 310.229372463 604.031930169 604.031930169 4569.54656863 52.7485002927 1045.01862793 432.12171637
-2.70066774561 0.814594378188 310.229372463 604.031930169 604.031930169 4569.54656863 52.7485002927 1045.01862793 503.520075519
-2.60284868343 1.95287670224 588.188692576 760.91564685 760.91564685 8120.68965517 53.1972869967 1558.12637208 289.364248358
-2.60284868343 1.95287670224 588.188692576 760.91564685 760.91564685 8120.68965517 57.8771167721 1558.12637208 527.652041251
-2.60284868343 1.95287670224 588.188692576 760.91564685 760.91564685 8120.68965517 62.7043243811 1558.12637208 390.277687367
-2.53748828547 1.1594622899 191.485401172 358.141419376 358.141419376 4944.31657451 52.5940139878 853.804964802 317.606560299
-2.53748828547 1.1594622899 191.485401172 358.141419376 358.141419376 4944.31657451 53.9502119405 853.804964802 310.311809837
